SensorID,TestSequence,Voltage,TubeCurrent,rho_dark_all,rho_Xray_all,rho_net_all,mu_tau_h_all,Int_E_dark,Int_E_Xray,Missing_voltage
D325054,1,500,0,-36702798787.13588,,,,522.690656697177,,
D325054,1,500,7,-36702798787.13588,14177710293.165524,50880509080.30141,0.00020230191786782718,522.690656697177,498.39595238051214,24.294704316664877
D325054,1,500,25,-36702798787.13588,18193796805.43722,54896595592.573105,0.0001874994508067419,522.690656697177,498.33858107704583,24.35207562013119
D325054,1,700,0,-32499137587.108932,,,,723.5652311871299,,
D325054,1,700,7,-32499137587.108932,15961553144.236143,48460690731.34508,0.000242102904673618,723.5652311871299,686.7192023057469,36.84602888138306
D325054,1,700,25,-32499137587.108932,21769895789.63918,54269033376.748116,0.00021677041048196962,723.5652311871299,683.3215672775111,40.24366390961882
D325054,2,500,0,-28216678086.85148,,,,513.1269365519416,,
D325054,2,500,7,-28216678086.85148,8296003979.353933,36512682066.205414,0.0002824879974915708,513.1269365519416,488.05295014429817,25.073986407643474
D325054,2,500,25,-28216678086.85148,12181390755.915897,40398068842.76738,0.0002540972705549306,513.1269365519416,487.9337383788426,25.193198173099063
D325054,2,700,0,-69212269426.62248,,,,713.1929056145872,,
D325054,2,700,7,-69212269426.62248,9910106421.706673,79122375848.32916,0.00016405897731995388,713.1929056145872,674.0832585178024,39.109647096784784
D325054,2,700,25,-69212269426.62248,14796845933.736845,84009115360.35934,0.0001517050367459337,713.1929056145872,671.5218959676549,41.67100964693225
D325054,3,500,0,-37836844418.53079,,,,443.2061567518045,,
D325054,3,500,7,-37836844418.53079,39648788934.696754,77485633353.22755,0.0001625548755750485,443.2061567518045,319.7457772106436,123.46037954116088
D325054,3,500,25,-37836844418.53079,36625438910.78257,74462283329.31335,0.00016180800376430662,443.2061567518045,351.7360324299451,91.47012432185937
D325054,3,700,0,-48851624893.15865,,,,716.0110900015125,,
D325054,3,700,7,-48851624893.15865,28514575537.586857,77366200430.74551,0.00013273944577297403,716.0110900015125,591.8351409801453,124.17594902136716
D325054,3,700,25,-48851624893.15865,37005220873.92949,85856845767.08813,0.00012022644346174131,716.0110900015125,582.8871768245324,133.12391317698007
D325054,4,500,0,-52861236354.07567,,,,415.62867098396197,,
D325054,4,500,7,-52861236354.07567,47598343096.90488,100459579450.98056,0.00012473835142429434,415.62867098396197,217.45261879331605,198.17605219064592
D325054,4,500,25,-52861236354.07567,56571383774.09618,109432620128.17186,0.00011246049739669269,415.62867098396197,256.0145758630164,159.6140951209456
D325054,4,700,0,-47549533554.40673,,,,699.278005007731,,
D325054,4,700,7,-47549533554.40673,24616097396.881237,72165630951.28795,0.00013212956341865752,699.278005007731,514.6907373481483,184.58726765958272
D325054,4,700,25,-47549533554.40673,40386943288.33537,87936476842.74211,0.0001093956366272093,699.278005007731,491.43303297414184,207.84497203358922
D325054,5,500,0,-54482056488.617546,,,,446.84103789445646,,
D325054,5,500,7,-54482056488.617546,47691267706.212654,102173324194.83022,0.00011885022274370189,446.84103789445646,224.16367980250723,222.67735809194923
D325054,5,500,25,-54482056488.617546,53687540286.78567,108169596775.40318,0.00011091748152624009,446.84103789445646,269.32671289909166,177.5143249953648
D325054,5,700,0,-57243256109.39821,,,,761.962852186502,,
D325054,5,700,7,-57243256109.39821,24858983484.538048,82102239593.93626,0.00010256519262514079,761.962852186502,534.3090731681998,227.6537790183022
D325054,5,700,25,-57243256109.39821,37694498879.898705,94937754989.29694,9.057326008981998e-05,761.962852186502,513.6884592468372,248.27439293966484
D325054,6,500,0,-65457057610.31591,,,,454.82961433035865,,
D325054,6,500,7,-65457057610.31591,46634392696.16148,112091450306.4774,0.00010616955571987242,454.82961433035865,253.47796321423826,201.3516511161204
D325054,6,500,25,-65457057610.31591,53104972219.66482,118562029829.98073,9.954054173515275e-05,454.82961433035865,278.74669701472453,176.08291731563412
D325054,6,700,0,-64516128410.93281,,,,763.5927929151173,,
D325054,6,700,7,-64516128410.93281,22238507892.248505,86754636303.1813,9.977000638225525e-05,763.5927929151173,565.0389913666806,198.5538015484367
D325054,6,700,25,-64516128410.93281,27473585047.344955,91989713458.27777,9.24698173938223e-05,763.5927929151173,543.7070327741176,219.88576014099976
D325054,7,500,0,-72766460442.90863,,,,605.9967113604911,,
D325054,7,500,7,-72766460442.90863,46064226446.7862,118830686889.69485,9.66050878989814e-05,605.9967113604911,349.45360299263007,256.543108367861
D325054,7,500,25,-72766460442.90863,60289176472.44174,133055636915.35039,8.933054837332963e-05,605.9967113604911,353.3467632106258,252.64994814986528
D325054,7,700,0,-76402723751.4542,,,,1033.11508260148,,
D325054,7,700,7,-76402723751.4542,33320424538.442326,109723148289.89655,8.035261221856177e-05,1033.11508260148,778.7362576205235,254.37882498095655
D325054,7,700,25,-76402723751.4542,43101670963.75315,119504394715.20732,7.379042301291015e-05,1033.11508260148,755.4298446066282,277.68523799485183
D325054,8,500,0,-55576331072.22256,,,,446.81496939806175,,
D325054,8,500,7,-55576331072.22256,17345065690.444054,72921396762.66663,0.00015559656316050752,446.81496939806175,270.7770475282193,176.03792186984242
D325054,8,500,25,-55576331072.22256,31292718906.480045,86869049978.7026,0.00013365955165464433,446.81496939806175,269.32919540413684,177.4857739939249
D325054,8,700,0,-53411769909.691475,,,,751.4639439232117,,
D325054,8,700,7,-53411769909.691475,13970520529.818901,67382290439.51037,0.00012764388088113435,751.4639439232117,561.4571233302204,190.0068205929913
D325054,8,700,25,-53411769909.691475,24913875303.15656,78325645212.84804,0.0001122018454301963,751.4639439232117,538.8408685722939,212.62307535091782
D325054,9,500,0,-51066273627.522964,,,,453.13950491455034,,
D325054,9,500,7,-51066273627.522964,36992765471.360695,88059039098.88365,0.00013995873225726177,453.13950491455034,233.33772133718566,219.8017835773647
D325054,9,500,25,-51066273627.522964,52264488913.514275,103330762541.03725,0.0001227439231158407,453.13950491455034,262.8963103439612,190.24319457058914
D325054,9,700,0,-56580125623.05179,,,,774.4608851413261,,
D325054,9,700,7,-56580125623.05179,17034526923.667543,73614652546.71935,0.00012531411749414155,774.4608851413261,589.1489340717593,185.31195106956682
D325054,9,700,25,-56580125623.05179,27695963028.390446,84276088651.44225,0.00011091748152624009,774.4608851413261,567.0869979517146,207.37388718961154
D325054,10,500,0,-59718028410.06119,,,,429.508857251073,,
D325054,10,500,7,-59718028410.06119,31952904216.978428,91670932627.03963,0.00013031667784523,429.508857251073,265.6676069341045,163.84125031696846
D325054,10,500,25,-59718028410.06119,44712700503.0157,104430728913.07687,0.00011455129414455361,429.508857251073,279.8034002796148,149.7054569714582
D325054,10,700,0,-80635702763.4634,,,,759.8045821244509,,
D325054,10,700,7,-80635702763.4634,18353998266.24192,98989701029.70532,9.14113241470251e-05,759.8045821244509,579.6455468575834,180.15903526686748
D325054,10,700,25,-80635702763.4634,34589893877.75575,115225596641.21915,7.780365510398041e-05,759.8045821244509,549.7991453519488,210.0054367725021
D325120,1,500,0,-17240497175.36702,,,,512.5548470309119,,
D325120,1,500,7,-17240497175.36702,15392736760.538906,32633233935.905926,0.000328851630875983,512.5548470309119,491.4817196897727,21.073127341139184
D325120,1,500,25,-17240497175.36702,18882018732.195183,36122515907.5622,0.0002924152377843337,512.5548470309119,491.4922295685768,21.062617462335083
D325120,1,700,0,-8568080561.372779,,,,710.9396552877081,,
D325120,1,700,7,-8568080561.372779,22337987986.486492,30906068547.859276,0.0003767037989839089,710.9396552877081,678.8521063506623,32.08754893704577
D325120,1,700,25,-8568080561.372779,26009954073.08974,34578034634.46252,0.0003467368504525317,710.9396552877081,677.5195732589003,33.42008202880777
D325120,2,500,0,-15725840300.523762,,,,510.46736323398795,,
D325120,2,500,7,-15725840300.523762,14103675848.327215,29829516148.850975,0.0003572728381519289,510.46736323398795,487.9175251974628,22.54983803652516
D325120,2,500,25,-15725840300.523762,16673075349.641136,32398915650.164906,0.0003176874070649769,510.46736323398795,489.4842910878463,20.983072146141637
D325120,2,700,0,-16134221903.018955,,,,711.0154417006959,,
D325120,2,700,7,-16134221903.018955,21574750108.614117,37708972011.63308,0.0003097419299216581,711.0154417006959,678.4921112397825,32.52333046091337
D325120,2,700,25,-16134221903.018955,24620803519.280598,40755025422.299545,0.000285101826750391,711.0154417006959,680.0152071455555,31.000234555140423
D325120,3,500,0,-34543263825.88155,,,,509.83571889088546,,
D325120,3,500,7,-34543263825.88155,14085418393.440641,48628682219.32219,0.00021281390459827135,509.83571889088546,488.3469901032533,21.48872878763217
D325120,3,500,25,-34543263825.88155,16348398118.052982,50891661943.93454,0.00020230191786782718,509.83571889088546,490.0103921419455,19.825326748939972
D325120,3,700,0,-23600115406.397568,,,,711.3694332122504,,
D325120,3,700,7,-23600115406.397568,19778212148.653404,43378327555.05097,0.00026302679918953814,711.3694332122504,679.0515760730682,32.31785713918225
D325120,3,700,25,-23600115406.397568,22956468029.310917,46556583435.70848,0.00024266100950824144,711.3694332122504,678.0769590388968,33.29247417335364
D325120,4,500,0,-40882779049.68269,,,,419.12345683992464,,
D325120,4,500,7,-40882779049.68269,23221061290.127937,64103840339.81063,0.0002460367604147627,419.12345683992464,261.7706557265129,157.35280111341172
D325120,4,500,25,-40882779049.68269,28866413415.413334,69749192465.09601,0.00022490546058357826,419.12345683992464,269.16795788122147,149.95549895870317
D325120,4,700,0,-30332923824.517975,,,,696.2703296645343,,
D325120,4,700,7,-30332923824.517975,17788254239.66632,48121178064.1843,0.00021577444091526668,696.2703296645343,517.0142166071362,179.25611305739812
D325120,4,700,25,-30332923824.517975,21597690988.78912,51930614813.30709,0.00020230191786782718,696.2703296645343,499.66915453789176,196.60117512664254
D325120,5,500,0,-27501426093.27367,,,,481.85151189953467,,
D325120,5,500,7,-27501426093.27367,44782652997.855225,72284079091.12888,0.00019952623149688788,481.85151189953467,286.5916095914273,195.25990230810737
D325120,5,500,25,-27501426093.27367,55186083067.73994,82687509161.01361,0.0001770108958317422,481.85151189953467,294.72422587374285,187.12728602579182
D325120,5,700,0,-37656547678.48503,,,,758.2384338312738,,
D325120,5,700,7,-37656547678.48503,44205336999.5266,81861884678.01166,0.00011246049739669269,758.2384338312738,548.589482106868,209.64895172440583
D325120,5,700,25,-37656547678.48503,54546031006.65154,92202578685.13658,0.00010280162981264735,758.2384338312738,511.752505910014,246.48592792125982
D325120,6,500,0,-39705340774.11837,,,,438.37478512273856,,
D325120,6,500,7,-39705340774.11837,37109634690.75081,76814975464.86917,0.00017988709151287876,438.37478512273856,286.7120290657926,151.66275605694597
D325120,6,500,25,-39705340774.11837,56182484380.81874,95887825154.9371,0.00014689262776438662,438.37478512273856,316.07711559937934,122.29766952335922
D325120,6,700,0,-36840715779.64208,,,,759.6716907501575,,
D325120,6,700,7,-36840715779.64208,43433807675.7787,80274523455.42076,0.0001309181922999407,759.6716907501575,565.0268567670785,194.64483398307902
D325120,6,700,25,-36840715779.64208,49750360578.0041,86591076357.64615,0.00012359474334445108,759.6716907501575,545.0923692082984,214.57932154185914
D325120,7,500,0,-32957023883.510742,,,,460.80945716783907,,
D325120,7,500,7,-32957023883.510742,38787049558.43181,71744073441.94255,0.00019408858775927794,460.80945716783907,289.3202440817853,171.48921308605378
D325120,7,500,25,-32957023883.510742,49023579536.68413,81980603420.19487,0.00016904409316432633,460.80945716783907,298.6141038448545,162.19535332298454
D325120,7,700,0,-20424842974.979588,,,,755.7547220547763,,
D325120,7,700,7,-20424842974.979588,30526633198.23238,50951476173.211975,0.00018113400926196026,755.7547220547763,568.6934720180022,187.06125003677403
D325120,7,700,25,-20424842974.979588,40424047762.930885,60848890737.91047,0.00015739828644662196,755.7547220547763,552.991684223088,202.76303783168828
D325120,8,500,0,-31773471823.947495,,,,442.39302720251413,,
D325120,8,500,7,-31773471823.947495,37572828410.94203,69346300234.88953,0.0002046444636724674,442.39302720251413,287.4330439439889,154.95998325852526
D325120,8,500,25,-31773471823.947495,45264825087.44051,77038296911.38802,0.00018238957023196384,442.39302720251413,291.5576236498375,150.8354035526766
D325120,8,700,0,-26689630376.66969,,,,732.3561926812993,,
D325120,8,700,7,-26689630376.66969,36273357522.68594,62962987899.35563,0.00015381546403030357,732.3561926812993,552.1890911344619,180.16710154683733
D325120,8,700,25,-26689630376.66969,42186224435.13654,68875854811.80623,0.0001442115351524868,732.3561926812993,527.3693787968349,204.98681388446437
D325120,9,500,0,-29604223835.175747,,,,449.46465484267566,,
D325120,9,500,7,-29604223835.175747,36394498243.56051,65998722078.736244,0.00023067471887200692,449.46465484267566,255.8744173231043,193.59023751957136
D325120,9,500,25,-29604223835.175747,44062946971.21412,73667170806.38986,0.0002089296130854041,449.46465484267566,275.6619693517681,173.80268549090755
D325120,9,700,0,-17437514624.43016,,,,732.722896183321,,
D325120,9,700,7,-17437514624.43016,37124874688.18975,54562389312.61991,0.00018365383433483474,732.722896183321,538.081233267505,194.64166291581603
D325120,9,700,25,-17437514624.43016,40747346110.98462,58184860735.41479,0.00017179083871575893,732.722896183321,512.2770470609157,220.44584912240532
D325120,10,500,0,-32050795637.490715,,,,426.2857312000137,,
D325120,10,500,7,-32050795637.490715,37509655117.87919,69560450755.3699,0.00022490546058357826,426.2857312000137,219.84372802056183,206.44200317945186
D325120,10,500,25,-32050795637.490715,41403835557.4778,73454631194.96852,0.00019142559250210858,426.2857312000137,287.1177873532037,139.16794384680998
D325120,10,700,0,-24232858373.919098,,,,739.5856822322744,,
D325120,10,700,7,-24232858373.919098,26665613433.943928,50898471807.863014,0.00018071741260109278,739.5856822322744,526.35593344076,213.22974879151434
D325120,10,700,25,-24232858373.919098,40406862958.20879,64639721332.1279,0.00015031419660900224,739.5856822322744,526.9520562397058,212.63362599256857
D325145,1,500,0,-19303395568.43903,,,,510.76780666957586,,
D325145,1,500,7,-19303395568.43903,19969777702.02058,39273173270.4596,0.00026668586645214805,510.76780666957586,486.93904745155294,23.828759218022924
D325145,1,500,25,-19303395568.43903,23000600555.836266,42303996124.27529,0.0002540972705549306,510.76780666957586,487.2076790183256,23.56012765125024
D325145,1,700,0,-50891455311.29725,,,,716.0375901280308,,
D325145,1,700,7,-50891455311.29725,25955666326.78062,76847121638.07787,0.000156675107010815,716.0375901280308,679.5736886158919,36.46390151213893
D325145,1,700,25,-50891455311.29725,29148762780.13736,80040218091.4346,0.00014927944095789958,716.0375901280308,676.4297618807271,39.6078282473037
D325145,2,500,0,-25416935707.744987,,,,507.07574848100955,,
D325145,2,500,7,-25416935707.744987,15785640243.360943,41202575951.10592,0.0002624218543384442,507.07574848100955,483.00621929303725,24.069529187972307
D325145,2,500,25,-25416935707.744987,17150587159.527468,42567522867.27245,0.0002466039337234341,507.07574848100955,483.4078800192773,23.66786846173227
D325145,2,700,0,-44536279220.14915,,,,710.173026546281,,
D325145,2,700,7,-44536279220.14915,19103677898.110474,63639957118.25962,0.00019186687406702892,710.173026546281,675.6906564357723,34.48237011050867
D325145,2,700,25,-44536279220.14915,22769560090.10221,67305839310.25137,0.00017947336268325266,710.173026546281,671.7423557369862,38.43067080929484
D325145,3,500,0,-49888967833.32238,,,,504.267608870537,,
D325145,3,500,7,-49888967833.32238,16528085049.058086,66417052882.38047,0.00015848931924611142,504.267608870537,480.61085672496046,23.656752145576547
D325145,3,500,25,-49888967833.32238,18707680535.89805,68596648369.22044,0.0001517050367459337,504.267608870537,479.85952257927477,24.408086291262237
D325145,3,700,0,-53319908810.76308,,,,705.6459724118386,,
D325145,3,700,7,-53319908810.76308,20426457444.07788,73746366254.84097,0.0001651961798229015,705.6459724118386,670.4373092998524,35.2086631119862
D325145,3,700,25,-53319908810.76308,24508298337.561916,77828207148.325,0.0001534616982799294,705.6459724118386,667.7212934865441,37.924678925294415
D325145,4,500,0,-41147809235.43968,,,,405.79155915669384,,
D325145,4,500,7,-41147809235.43968,51627687410.30012,92775496645.73979,0.00014321878992735424,405.79155915669384,245.21605751295556,160.57550164373828
D325145,4,500,25,-41147809235.43968,55121031124.85385,96268840360.29355,0.00013489628825916533,405.79155915669384,240.65903795573752,165.13252120095632
D325145,4,700,0,-57464910698.396935,,,,708.0175428506207,,
D325145,4,700,7,-57464910698.396935,39091369754.25177,96556280452.64871,0.00010715193052376071,708.0175428506207,483.5511244167589,224.46641843386175
D325145,4,700,25,-57464910698.396935,44441347420.883354,101906258119.2803,0.00010256519262514079,708.0175428506207,465.6777036464339,242.33983920418677
D325145,5,500,0,-31178889009.260475,,,,487.4878371887711,,
D325145,5,500,7,-31178889009.260475,63078017539.85049,94256906549.11096,0.00013551894123510364,487.4878371887711,266.8111132591159,220.67672392965517
D325145,5,500,25,-31178889009.260475,69548048147.15184,100726937156.41232,0.00012912192736135334,487.4878371887711,298.0150334079246,189.4728037808465
D325145,5,700,0,-51243898507.91693,,,,787.0541387974575,,
